ZINC_ID,standard_smiles
ZINC_252,CCCOc1ccc(-c2cccnc2OC(F)F)cc1
ZINC_253,CCCOc1ccc(-c2ccc(C3(N)CC3)cc2)cc1
ZINC_254,CCCOc1ccc(-c2cnc3[nH]ccc3c2F)cc1
ZINC_255,CCCOc1ccc(-c2cc(NC(C)=O)ccc2F)cc1
ZINC_256,CCCOc1ccc(-c2cccc3nsnc23)cc1
ZINC_257,CCCOc1ccc(-c2ccc(OCOC)cc2)cc1
ZINC_258,CCCOc1ccc(-c2ccc3c(c2)CCN3C(C)=O)cc1
ZINC_259,CCCOc1ccc(-c2c(C)cc(OC)nc2C)cc1
ZINC_260,CCCOc1ccc(-c2ccc(SC)cn2)cc1
ZINC_261,CCCOc1ccc(-c2cncc(F)c2CC)cc1
ZINC_262,CCCOc1ccc(-c2cnc(C)c(C(=O)OCC)c2)cc1
ZINC_263,CCCOc1ccc(-c2ccc(OC)c(OC)c2C)cc1
ZINC_264,CCCOc1ccc(-c2ccnc(C(F)F)c2)cc1
ZINC_265,CCCOc1ccc(-c2ccc3c(c2)CCN(C)C3)cc1
ZINC_266,CCCOc1ccc(-c2ccc3c(c2)CCCC(=O)N3)cc1
ZINC_267,CCCOc1ccc(-c2cccc3cnoc23)cc1
ZINC_268,CCCOc1ccc(-c2ccc(CN3CCC3)cc2)cc1
ZINC_269,CCCOc1ccc(-c2ccc(C(C)C(=O)OC)cc2)cc1
ZINC_270,CCCOc1ccc(-c2ccc(C(C)C(=O)OC)cc2)cc1
ZINC_271,CCCOc1ccc(-c2cccc3cc(N)cnc23)cc1
ZINC_272,CCCOc1ccc(-c2ccc(C)cc2OC)cc1
ZINC_273,CCCOc1ccc(-c2ccc(C(C)(C)N)cc2)cc1
ZINC_274,COCCOc1ccc(-c2cnc3ccc(F)cc3c2)cc1
ZINC_275,CCCOc1ccc(-c2cccc(C3COC3)c2)cc1
ZINC_276,CCCOc1ccc(-c2ccc3c(c2)SCC(=O)N3)cc1
ZINC_277,CCCOc1ccc(-c2c(OC)ncc3cc[nH]c23)cc1
ZINC_278,CCCOc1ccc(-c2cc(C)ccc2OCOC)cc1
ZINC_279,CCCOc1ccc(-c2ccccc2OCCN(C)C)cc1
ZINC_280,CCCOc1ccc(-c2ccc(NC(C)=O)c(C)c2)cc1
ZINC_281,C=Cc1ccccc1-c1ccc(OCCOC)cc1
ZINC_282,CCCOc1ccc(-c2ccc(NC(C)=O)cc2F)cc1
ZINC_283,CCCOc1ccc(-c2cncc3[nH]ccc23)cc1
