index,PMID,Chemical Name,Smiles,Standard Value,Standard Units,Standard Relation,Unnamed: 6,Unnamed: 7,InChi,MW,standardized_Standard Units,neg_log_M_Standard_Valuemean,binary_activities,SMILES
10,PMID29534488,2-{1-[2-(6-Chloro-1234-tetrahydroacridin-9-ylamino)ethyl]-1H-123-triazol-4-yl}-N-[4-(hydroxy)-3-methoxybenzyl]acetamide,COc1cc(CNC(=O)Cc2cn(CCNc3c4c(nc5cc(Cl)ccc35)CCCC4)nn2)ccc1O,7.18,nM,'=',,,QGOFBQWQLIHCSC-UHFFFAOYSA-N,520.198966,nm,8.143876,1,COc1cc(CNC(=O)Cc2cn(CCNc3c4c(nc5cc(Cl)ccc35)CCCC4)nn2)ccc1O
18,PMID29850593,(6aS)-110-dimethoxy-6-methyl-566a7-tetrahydro-4H-dibenzo[deg]quinoline-29-diol,COc1cc2c(cc1O)CC1c3c(cc(O)c(OC)c3-2)CCN1C,372.3,µM,'=',,,LZJRNLRASBVRRX-UHFFFAOYSA-N,327.147058,um,3.429107,0,COc1cc2c(cc1O)CC1c3c(cc(O)c(OC)c3-2)CCN1C
19,PMID29967717,N-Ethyl-N-(4-methoxyphenethyl)-4-methylbenzensulfonamide,CCN(CCc1ccc(OC)cc1)S(=O)(=O)c1ccc(C)cc1,22.549,µM,'=',,,BJQMSCLUTODXEF-UHFFFAOYSA-N,333.139865,um,4.646873,0,CCN(CCc1ccc(OC)cc1)S(=O)(=O)c1ccc(C)cc1
20,PMID29967717,N-(4-Methoxyphenethyl)-4-methyl-N-(1-propyl)benzensulfonamide,CCCN(CCc1ccc(OC)cc1)S(=O)(=O)c1ccc(C)cc1,4.1643,µM,'=',,,JTDJDBDFBJNSNL-UHFFFAOYSA-N,347.155515,um,5.380458,0,CCCN(CCc1ccc(OC)cc1)S(=O)(=O)c1ccc(C)cc1
21,PMID29967717,N-(4-Methoxyphenethyl)-4-methyl-N-(2-propyl)benzensulfonamide,COc1ccc(CCN(C(C)C)S(=O)(=O)c2ccc(C)cc2)cc1,0.0751,µM,'=',,,AWOWQGYKVWFUNN-UHFFFAOYSA-N,347.155515,um,7.12436,1,COc1ccc(CCN(C(C)C)S(=O)(=O)c2ccc(C)cc2)cc1
22,PMID29967717,N-(1-Butyl)-N-(4-methoxyphenethyl)-4-methylbenzensulfonamide,CCCCN(CCc1ccc(OC)cc1)S(=O)(=O)c1ccc(C)cc1,0.1195,µM,'=',,,WGIKOLJMLDKWSN-UHFFFAOYSA-N,361.171165,um,6.922632,1,CCCCN(CCc1ccc(OC)cc1)S(=O)(=O)c1ccc(C)cc1
23,PMID29967717,N-(4-Methoxyphenethyl)-4-methyl-N-(1-pentyl)benzensulfonamide,CCCCCN(CCc1ccc(OC)cc1)S(=O)(=O)c1ccc(C)cc1,0.3979,µM,'=',,,MMOULABEDMBASK-UHFFFAOYSA-N,375.186815,um,6.400226,1,CCCCCN(CCc1ccc(OC)cc1)S(=O)(=O)c1ccc(C)cc1
24,PMID29967717,N-(1-Heptyl)-N-(4-methoxyphenethyl)-4-methylbenzensulfonamide,CCCCCCCN(CCc1ccc(OC)cc1)S(=O)(=O)c1ccc(C)cc1,0.4444,µM,'=',,,HXPQBKDCBFHAAD-UHFFFAOYSA-N,403.218115,um,6.352226,1,CCCCCCCN(CCc1ccc(OC)cc1)S(=O)(=O)c1ccc(C)cc1
25,PMID29967717,N-(4-Methoxyphenethyl)-4-methyl-N-(3-phenyl-1-propyl)benzensulfonamide,COc1ccc(CCN(CCCc2ccccc2)S(=O)(=O)c2ccc(C)cc2)cc1,0.798,µM,'=',,,XVCZJKBSYCXANF-UHFFFAOYSA-N,423.186815,um,6.097997,1,COc1ccc(CCN(CCCc2ccccc2)S(=O)(=O)c2ccc(C)cc2)cc1
26,PMID29967717,N-(4-Methoxyphenethyl)-4-methyl-N-(2-methylbenzyl)benzensulfonamide,COc1ccc(CCN(Cc2ccccc2C)S(=O)(=O)c2ccc(C)cc2)cc1,1.0108,µM,'=',fixed,,PSUCRFOVYYXKEB-UHFFFAOYSA-N,409.171165,um,5.995335,0,COc1ccc(CCN(Cc2ccccc2C)S(=O)(=O)c2ccc(C)cc2)cc1
27,PMID29967717,N-(4-Methoxyphenethyl)-4-methyl-N-(3-methylbenzyl)benzensulfonamide,COc1ccc(CCN(Cc2cccc(C)c2)S(=O)(=O)c2ccc(C)cc2)cc1,0.4695,µM,'=',,,RTMAXQTVFROUDB-UHFFFAOYSA-N,409.171165,um,6.328364,1,COc1ccc(CCN(Cc2cccc(C)c2)S(=O)(=O)c2ccc(C)cc2)cc1
28,PMID29967717,N-(4-Methoxyphenethyl)-4-methyl-N-(4-methylbenzyl)benzensulfonamide ,COc1ccc(CCN(Cc2ccc(C)cc2)S(=O)(=O)c2ccc(C)cc2)cc1,1.1077,µM,'=',,,VNXALGBXNVPBSX-UHFFFAOYSA-N,409.171165,um,5.955578,0,COc1ccc(CCN(Cc2ccc(C)cc2)S(=O)(=O)c2ccc(C)cc2)cc1
